"Group","WeekType","Day","LessonNum","StartTime","EndTime","Subject","TeacherFullName","RoomName","BuildingName","Homework"
"4ИСИП-125","even","Понедельник","1","09:00","10:30","Классный час","Преподаватель 12 Кла","Кабинет 8","Корпус B","Прочитать главу 1"
"4ИСИП-125","even","Понедельник","2","10:40","12:10","Иностранный язык в профессиональной деятельности","Доп Преподаватель 14 Ино","Кабинет 5","Корпус A",""
"4ИСИП-125","even","Понедельник","3","12:50","14:20","Основы алгоритмизации и программирования","Преподаватель 1 Осн","Кабинет 10","Корпус A",""
"4ИСИП-125","even","Понедельник","4","14:30","16:00","Физическая культура","Преподаватель 11 Физ","Кабинет 9","Корпус B","Прочитать главу 1"
"4ИСИП-125","even","Понедельник","5","16:10","17:40","История","Преподаватель 9 Ист","Кабинет 1","Корпус A",""
"4ИСИП-125","even","Вторник","1","09:00","10:30","Базы данных","Преподаватель 2 Баз","Кабинет 9","Корпус A","Прочитать главу 1"
"4ИСИП-125","even","Вторник","2","10:40","12:10","Физическая культура","Преподаватель 11 Физ","Кабинет 7","Корпус B",""
"4ИСИП-125","even","Вторник","3","12:50","14:20","Иностранный язык в профессиональной деятельности","Доп Преподаватель 14 Ино","Кабинет 8","Корпус A","Подготовить доклад"
"4ИСИП-125","even","Вторник","4","14:30","16:00","Веб-разработка","Доп Преподаватель 16 Веб","Кабинет 1","Корпус A",""
"4ИСИП-125","even","Вторник","5","16:10","17:40","Основы алгоритмизации и программирования","Доп Преподаватель 13 Осн","Кабинет 8","Корпус B",""
"4ИСИП-125","even","Среда","1","09:00","10:30","Веб-разработка","Преподаватель 3 Веб","Кабинет 4","Корпус B","Прочитать главу 1"
"4ИСИП-125","even","Среда","2","10:40","12:10","Физическая культура","Преподаватель 11 Физ","Кабинет 7","Корпус B","Прочитать главу 1"
"4ИСИП-125","even","Среда","3","12:50","14:20","Иностранный язык в профессиональной деятельности","Преподаватель 7 Ино","Кабинет 1","Корпус A","Прочитать главу 1"
"4ИСИП-125","even","Среда","4","14:30","16:00","Классный час","Преподаватель 12 Кла","Кабинет 6","Корпус B","Прочитать главу 1"
"4ИСИП-125","even","Среда","5","16:10","17:40","Психология общения","Доп Преподаватель 17 Пси","Кабинет 7","Корпус A",""
"4ИСИП-125","even","Четверг","1","09:00","10:30","Базы данных","Преподаватель 2 Баз","Кабинет 1","Корпус B",""
"4ИСИП-125","even","Четверг","2","10:40","12:10","Основы алгоритмизации и программирования","Доп Преподаватель 13 Осн","Кабинет 6","Корпус B","Подготовить доклад"
"4ИСИП-125","even","Четверг","3","12:50","14:20","Веб-разработка","Преподаватель 3 Веб","Кабинет 6","Корпус B","Решить задачи 1-5"
"4ИСИП-125","even","Четверг","4","14:30","16:00","Классный час","Преподаватель 12 Кла","Кабинет 1","Корпус B","Прочитать главу 1"
"4ИСИП-125","even","Четверг","5","16:10","17:40","Физическая культура","Преподаватель 11 Физ","Кабинет 3","Корпус A",""
"4ИСИП-125","even","Пятница","1","09:00","10:30","Математика","Преподаватель 10 Мат","Кабинет 7","Корпус A","Решить задачи 1-5"
"4ИСИП-125","even","Пятница","2","10:40","12:10","Веб-разработка","Преподаватель 3 Веб","Кабинет 8","Корпус A","Прочитать главу 1"
"4ИСИП-125","even","Пятница","3","12:50","14:20","Базы данных","Преподаватель 2 Баз","Кабинет 8","Корпус B","Прочитать главу 1"
